Files,Attributes,Policy,Setup Time (s),Keygen Time (s),Encrypt Time (s),Decrypt Time (s),MPK Size (Bytes),MSK Size (Bytes),SK Size (Bytes),CT Size (Bytes),Success Rate (%)
2,2,L1: (attr1@AUTH1 AND attr2@AUTH2) OR L2: (attr1@AUTH1 AND attr2@AUTH2),0.0022755861282348633,0.002529144287109375,0.0016390085220336914,0.0006849765777587891,768,120,360,766,100.0
2,4,L1: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4) OR L2: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4),0.0026593804359436035,0.0030151009559631348,0.001843094825744629,0.0006657838821411133,1536,240,720,830,100.0
2,6,L1: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4 AND attr5@AUTH5 AND attr6@AUTH6) OR L2: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4 AND attr5@AUTH5 AND attr6@AUTH6),0.0024688243865966797,0.0026324987411499023,0.0017851591110229492,0.000666499137878418,2304,360,1080,894,100.0
2,8,L1: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4 AND attr5@AUTH5 AND attr6@AUTH6 AND attr7@AUTH7 AND attr8@AUTH8) OR L2: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4 AND attr5@AUTH5 AND attr6@AUTH6 AND attr7@AUTH7 AND attr8@AUTH8),0.002483755350112915,0.002706199884414673,0.0018568038940429688,0.0007551908493041992,3072,480,1440,958,100.0
2,10,L1: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4 AND attr5@AUTH5 AND attr6@AUTH6 AND attr7@AUTH7 AND attr8@AUTH8 AND attr9@AUTH9 AND attr10@AUTH10) OR L2: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4 AND attr5@AUTH5 AND attr6@AUTH6 AND attr7@AUTH7 AND attr8@AUTH8 AND attr9@AUTH9 AND attr10@AUTH10),0.002502846717834473,0.0027033805847167967,0.0017403364181518555,0.0006582736968994141,3840,600,1800,1026,100.0
2,12,L1: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4 AND attr5@AUTH5 AND attr6@AUTH6 AND attr7@AUTH7 AND attr8@AUTH8 AND attr9@AUTH9 AND attr10@AUTH10 AND attr11@AUTH11 AND attr12@AUTH12) OR L2: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4 AND attr5@AUTH5 AND attr6@AUTH6 AND attr7@AUTH7 AND attr8@AUTH8 AND attr9@AUTH9 AND attr10@AUTH10 AND attr11@AUTH11 AND attr12@AUTH12),0.0024449825286865234,0.0027540127436319986,0.0018020868301391602,0.0008213520050048828,4608,720,2160,1098,100.0
2,14,L1: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4 AND attr5@AUTH5 AND attr6@AUTH6 AND attr7@AUTH7 AND attr8@AUTH8 AND attr9@AUTH9 AND attr10@AUTH10 AND attr11@AUTH11 AND attr12@AUTH12 AND attr13@AUTH13 AND attr14@AUTH14) OR L2: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4 AND attr5@AUTH5 AND attr6@AUTH6 AND attr7@AUTH7 AND attr8@AUTH8 AND attr9@AUTH9 AND attr10@AUTH10 AND attr11@AUTH11 AND attr12@AUTH12 AND attr13@AUTH13 AND attr14@AUTH14),0.0025019815989903043,0.0026861258915492465,0.0018364191055297852,0.0006396770477294922,5376,840,2520,1170,100.0
4,2,L1: (attr1@AUTH1 AND attr2@AUTH2) OR L2: (attr1@AUTH1 AND attr2@AUTH2) OR L3: (attr1@AUTH1 AND attr2@AUTH2) OR L4: (attr1@AUTH1 AND attr2@AUTH2),0.002574324607849121,0.0025892257690429688,0.0023273229598999023,0.0006458759307861328,768,120,360,1532,100.0
4,4,L1: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4) OR L2: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4) OR L3: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4) OR L4: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4),0.0024865269660949707,0.0027530789375305176,0.0019141435623168945,0.0006794929504394531,1536,240,720,1660,100.0
4,6,L1: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4 AND attr5@AUTH5 AND attr6@AUTH6) OR L2: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4 AND attr5@AUTH5 AND attr6@AUTH6) OR L3: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4 AND attr5@AUTH5 AND attr6@AUTH6) OR L4: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4 AND attr5@AUTH5 AND attr6@AUTH6),0.002531727155049642,0.002774357795715332,0.0019571781158447266,0.0006731748580932617,2304,360,1080,1788,100.0
4,8,L1: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4 AND attr5@AUTH5 AND attr6@AUTH6 AND attr7@AUTH7 AND attr8@AUTH8) OR L2: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4 AND attr5@AUTH5 AND attr6@AUTH6 AND attr7@AUTH7 AND attr8@AUTH8) OR L3: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4 AND attr5@AUTH5 AND attr6@AUTH6 AND attr7@AUTH7 AND attr8@AUTH8) OR L4: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4 AND attr5@AUTH5 AND attr6@AUTH6 AND attr7@AUTH7 AND attr8@AUTH8),0.0024813711643218994,0.0029113292694091797,0.0019115209579467773,0.0006767511367797852,3072,480,1440,1916,100.0
