Scenario,Files,Attributes,Policy,Setup Time (s),Keygen Time (s),Encrypt Time (s),Decrypt Time (s),MPK Size (Bytes),MSK Size (Bytes),SK Size (Bytes),CT Size (Bytes),Success Rate (%)
Fixed Files (2),2,2,L1: (attr1 AND attr2) OR L2: (attr1 AND attr2),0.015308380126953125,0.0035331249237060547,0.004985451698303223,0.0013266801834106445,1704,480,360,1282,100.0
Fixed Files (2),2,4,L1: (attr1 AND attr2 AND attr3 AND attr4) OR L2: (attr1 AND attr2 AND attr3 AND attr4),0.015308380126953125,0.00575709342956543,0.005061984062194824,0.0015119314193725586,1704,480,540,1682,100.0
Fixed Files (2),2,6,L1: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6) OR L2: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6),0.015308380126953125,0.007152080535888672,0.004818558692932129,0.0014078617095947266,1704,480,720,2082,100.0
Fixed Files (2),2,8,L1: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8) OR L2: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8),0.015308380126953125,0.008851051330566406,0.004616856575012207,0.0012856721878051758,1704,480,900,2482,100.0
Fixed Files (2),2,10,L1: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10) OR L2: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10),0.015308380126953125,0.010828018188476562,0.004663348197937012,0.0012553930282592773,1704,480,1080,2884,100.0
Fixed Files (2),2,12,L1: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10 AND attr11 AND attr12) OR L2: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10 AND attr11 AND attr12),0.015308380126953125,0.011742830276489258,0.0047321319580078125,0.0015859603881835938,1704,480,1260,3288,100.0
Fixed Files (2),2,14,L1: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10 AND attr11 AND attr12 AND attr13 AND attr14) OR L2: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10 AND attr11 AND attr12 AND attr13 AND attr14),0.015308380126953125,0.01437997817993164,0.004790544509887695,0.0013445615768432617,1704,480,1440,3692,100.0
Fixed Files (4),4,2,L1: (attr1 AND attr2) OR L2: (attr1 AND attr2) OR L3: (attr1 AND attr2) OR L4: (attr1 AND attr2),0.015308380126953125,0.003459930419921875,0.004832625389099121,0.0013303160667419434,1704,480,360,2564,100.0
Fixed Files (4),4,4,L1: (attr1 AND attr2 AND attr3 AND attr4) OR L2: (attr1 AND attr2 AND attr3 AND attr4) OR L3: (attr1 AND attr2 AND attr3 AND attr4) OR L4: (attr1 AND attr2 AND attr3 AND attr4),0.015308380126953125,0.005268096923828125,0.005048155784606934,0.001361250877380371,1704,480,540,3364,100.0
Fixed Files (4),4,6,L1: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6) OR L2: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6) OR L3: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6) OR L4: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6),0.015308380126953125,0.007567405700683594,0.004920065402984619,0.0013127923011779785,1704,480,720,4164,100.0
Fixed Files (4),4,8,L1: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8) OR L2: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8) OR L3: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8) OR L4: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8),0.015308380126953125,0.009348154067993164,0.00467759370803833,0.0014147758483886719,1704,480,900,4964,100.0
Fixed Files (4),4,10,L1: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10) OR L2: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10) OR L3: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10) OR L4: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10),0.015308380126953125,0.010544300079345703,0.004749715328216553,0.0013178586959838867,1704,480,1080,5768,100.0
Fixed Files (4),4,12,L1: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10 AND attr11 AND attr12) OR L2: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10 AND attr11 AND attr12) OR L3: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10 AND attr11 AND attr12) OR L4: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10 AND attr11 AND attr12),0.015308380126953125,0.01228952407836914,0.005101799964904785,0.001368701457977295,1704,480,1260,6576,100.0
Fixed Files (4),4,14,L1: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10 AND attr11 AND attr12 AND attr13 AND attr14) OR L2: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10 AND attr11 AND attr12 AND attr13 AND attr14) OR L3: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10 AND attr11 AND attr12 AND attr13 AND attr14) OR L4: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10 AND attr11 AND attr12 AND attr13 AND attr14),0.015308380126953125,0.01420903205871582,0.005107879638671875,0.0013636946678161621,1704,480,1440,7384,100.0
Fixed Files (6),6,2,L1: (attr1 AND attr2) OR L2: (attr1 AND attr2) OR L3: (attr1 AND attr2) OR L4: (attr1 AND attr2) OR L5: (attr1 AND attr2) OR L6: (attr1 AND attr2),0.015308380126953125,0.0035266876220703125,0.0050271352132161455,0.001352230707804362,1704,480,360,3846,100.0
Fixed Files (6),6,4,L1: (attr1 AND attr2 AND attr3 AND attr4) OR L2: (attr1 AND attr2 AND attr3 AND attr4) OR L3: (attr1 AND attr2 AND attr3 AND attr4) OR L4: (attr1 AND attr2 AND attr3 AND attr4) OR L5: (attr1 AND attr2 AND attr3 AND attr4) OR L6: (attr1 AND attr2 AND attr3 AND attr4),0.015308380126953125,0.005934238433837891,0.005117495854695638,0.0013430118560791016,1704,480,540,5046,100.0
Fixed Files (6),6,6,L1: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6) OR L2: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6) OR L3: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6) OR L4: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6) OR L5: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6) OR L6: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6),0.015308380126953125,0.00705409049987793,0.0048732757568359375,0.0012968381245930989,1704,480,720,6246,100.0
Fixed Files (6),6,8,L1: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8) OR L2: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8) OR L3: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8) OR L4: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8) OR L5: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8) OR L6: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8),0.015308380126953125,0.009300708770751953,0.004862507184346517,0.0013188918431599934,1704,480,900,7446,100.0
