Scenario,Files,Attributes,Policy,Global Setup (ms),WGA Global Setup (ms),GA Setup (ms),WGA GA Setup (ms),AA Setup (ms),WAA Setup (ms),Encrypt Off (ms),Encrypt On (ms),WDO Encrypt Off (ms),WDO Encrypt On (ms),AES Encrypt Overhead (ms),GA Keygen Off (ms),WGA GA Keygen Off (ms),WGA GA Keygen On (ms),AA Keygen Off (ms),AA Keygen On (ms),WAA Keygen Off (ms),WAA Keygen On (ms),Keygen Ran (ms),WDU TK Update (ms),Decrypt Out (ms),WDU Decrypt (ms),Decrypt User (ms),AES Decrypt Overhead (ms),Total Encrypt Time (ms),Total Decrypt Time (ms),GPK Size (Bytes),GMK Size (Bytes),CT Size (Bytes),UGSK Size (Bytes),UASK Size (Bytes),Success Rate (%)
Fixed_Files_2_Attrs_2,2,2,L1: (0 AND 1) OR L2: (0 AND 1),7.515355013310909,11.097172973677516,0.28491695411503315,0.19141199300065637,34.68020202126354,44.29308499675244,13.88424148899503,7.790922012645751,13.5791230131872,7.613461522851139,39.92802096763626,5.779550992883742,6.016165018081665,1.3985849800519645,6.503693992272019,2.968379994854331,6.087668996769935,3.276699048001319,10.972164978738874,10.21241897251457,9.935851994669065,0.15930950758047402,0.1487090194132179,4.558275104500353,125.6635170429945,25.046016147825867,174,30,1608,270,360,100.0
Fixed_Files_2_Attrs_4,2,4,L1: (0 AND 1 AND 2 AND 3) OR L2: (0 AND 1 AND 2 AND 3),7.485653040930629,8.381007995922118,0.2504150033928454,0.1712110242806375,29.135666030924767,29.80860701063648,26.136733969906345,15.798457490745932,23.36136598023586,14.92580451304093,2.618857950437814,5.943260039202869,6.16827403428033,2.020823012571782,16.729713999666274,9.241460007615387,13.392612047027797,6.57739897724241,17.05373398726806,15.827758994419128,19.402776000788435,0.20056249923072755,0.2005624701268971,3.9252378046512604,163.06358185829595,43.53303974494338,174,30,2688,270,720,100.0
Fixed_Files_2_Attrs_6,2,6,L1: (0 AND 1 AND 2 AND 3 AND 4 AND 5) OR L2: (0 AND 1 AND 2 AND 3 AND 4 AND 5),7.561757985968143,8.592421014327556,0.2083120052702725,0.1746099442243576,29.185269959270954,28.743243019562215,27.850938495248556,17.245345487026498,27.032437996240333,17.59016650612466,2.129429019987583,6.136971991509199,5.7683499762788415,1.4197860145941377,17.313549004029483,8.416411001235247,18.46902002580464,8.59322102041915,21.292591001838446,21.712616027798504,21.61020998028107,0.15940997400321066,0.13925798702985048,3.790428047068417,181.56720598926768,47.60818392969668,174,30,3768,270,1080,100.0
Fixed_Files_2_Attrs_8,2,8,L1: (0 AND 1 AND 2 AND 3 AND 4 AND 5 AND 6 AND 7) OR L2: (0 AND 1 AND 2 AND 3 AND 4 AND 5 AND 6 AND 7),7.466953014954925,13.080593023914844,0.32812001882120967,0.32561999978497624,45.495556958485395,45.39155203383416,41.15864500636235,23.481873504351825,36.508012999547645,23.359816026641056,3.6405219580046833,5.72454696521163,5.699846020434052,1.5776960062794387,23.09079997939989,11.951224005315453,23.77424098085612,11.424492986407131,27.38186001079157,27.703778992872685,28.79619551822543,0.13225802103988826,0.13500801287591457,3.6917230463586748,252.65721703181043,61.81864615064114,174,30,4848,270,1440,100.0
Fixed_Files_2_Attrs_10,2,10,L1: (0 AND 1 AND 2 AND 3 AND 4 AND 5 AND 6 AND 7 AND 8 AND 9) OR L2: (0 AND 1 AND 2 AND 3 AND 4 AND 5 AND 6 AND 7 AND 8 AND 9),7.376347028184682,12.153035961091518,0.4277259577065706,0.2907179878093302,43.96246501710266,35.36434401758015,56.989854492712766,36.8168315035291,56.75774050178006,44.51179853640497,2.4729500291869044,8.83713603252545,8.787433034740388,2.0181229920126498,45.31285201665014,21.36089699342847,28.86545198271051,14.260965981520712,32.340364006813616,33.19751500384882,35.468654008582234,0.13150801532901824,0.14150849892757833,3.9317391347140074,392.6254000980407,75.41508018039167,174,30,5928,270,1800,100.0
Fixed_Files_2_Attrs_12,2,12,L1: (0 AND 1 AND 2 AND 3 AND 4 AND 5 AND 6 AND 7 AND 8 AND 9 AND 10 AND 11) OR L2: (0 AND 1 AND 2 AND 3 AND 4 AND 5 AND 6 AND 7 AND 8 AND 9 AND 10 AND 11),7.2420400101691484,8.567921002395451,0.22511399583891034,0.2671160036697984,29.128369002137333,29.141568986233324,53.05482150288299,34.31833352078684,52.858959505101666,34.58650002721697,2.302940934896469,5.647643003612757,5.739949003327638,1.4397880295291543,36.59172198968008,20.291432039812207,39.46499602170661,17.89718703366816,37.7241910318844,38.71895099291578,43.802209984278306,0.16406047507189214,0.1361584581900388,3.6216209991835058,351.9401700468734,91.82647883426398,174,30,7008,270,2160,100.0
Fixed_Files_2_Attrs_14,2,14,L1: (0 AND 1 AND 2 AND 3 AND 4 AND 5 AND 6 AND 7 AND 8 AND 9 AND 10 AND 11 AND 12 AND 13) OR L2: (0 AND 1 AND 2 AND 3 AND 4 AND 5 AND 6 AND 7 AND 8 AND 9 AND 10 AND 11 AND 12 AND 13),7.360647025052458,8.311805024277419,0.17431098967790604,0.1637099776417017,40.69817200070247,38.427432999014854,92.29315450647846,51.66568749700673,70.12860849499702,46.88384701148607,3.9637399604544044,5.691546015441418,5.525435961317271,1.4802890364080667,40.145036997273564,20.508144982159138,40.11133499443531,20.022916025482118,44.27148896502331,43.290928995702416,51.315266493475065,0.17676048446446657,0.17646097694523633,3.6710239364765584,525.906334980391,107.0079998462461,174,30,8088,270,2520,100.0
Fixed_Files_4_Attrs_2,4,2,L1: (0 AND 1) OR L2: (0 AND 1) OR L3: (0 AND 1) OR L4: (0 AND 1),7.49225402250886,8.924441994167864,0.197211978957057,0.15721004456281662,29.070165008306503,28.68454100098461,10.204519756371155,6.119746758486144,11.64665725082159,7.559959500213154,4.203154938295484,9.042549005243927,8.660524967126548,1.5352939954027534,6.186876038555056,2.8313720249570906,5.908459017518908,2.7991700335405767,10.50843799021095,10.457335039973259,9.003671744721942,0.17458574438933283,0.14465850836131722,7.89117714157328,146.32668800186366,45.18284113146365,174,30,3216,270,360,100.0
Fixed_Files_4_Attrs_4,4,4,L1: (0 AND 1 AND 2 AND 3) OR L2: (0 AND 1 AND 2 AND 3) OR L3: (0 AND 1 AND 2 AND 3) OR L4: (0 AND 1 AND 2 AND 3),7.884079008363187,8.467014005873352,0.23571500787511468,0.15951000386849046,28.52443204028532,28.629738022573292,22.411885496694595,13.352660491364077,22.69425298436545,13.193126011174172,5.627440987154841,9.172557038255036,9.737191023305058,2.2015339927747846,18.011493026278913,6.185875972732902,18.507223983760923,9.08765196800232,20.489844027906656,15.556644008029252,15.35978248284664,0.13385825150180608,0.17098523676395416,7.138032000511885,292.235140921548,69.79653588496149,174,30,5376,270,720,100.0
Fixed_Files_4_Attrs_6,4,6,L1: (0 AND 1 AND 2 AND 3 AND 4 AND 5) OR L2: (0 AND 1 AND 2 AND 3 AND 4 AND 5) OR L3: (0 AND 1 AND 2 AND 3 AND 4 AND 5) OR L4: (0 AND 1 AND 2 AND 3 AND 4 AND 5),7.450052013155073,8.399009995628148,0.25541603099554777,0.16631005564704537,29.732105031143874,28.878753015305847,27.69783126132097,17.17726798960939,27.063618254032917,17.435883739381097,4.259458219166845,5.626441969070584,5.667745019309223,1.4091859920881689,17.31115102302283,8.48841603146866,17.50366302439943,8.635323960334063,21.81552501861006,21.496906003449112,21.8758034898201,0.14180847210809588,0.14913399354554713,7.929980813059956,361.75786319654435,96.59696463495493,174,30,7536,270,1080,100.0
