Files,Attributes,Policy,Global Setup (s),WGA Global Setup (s),GA Setup (s),WGA GA Setup (s),AA Setup (s),WAA Setup (s),Encrypt Off (s),Encrypt On (s),WDO Encrypt Off (s),WDO Encrypt On (s),GA Keygen Off (s),WGA GA Keygen Off (s),WGA GA Keygen On (s),AA Keygen Off (s),AA Keygen On (s),WAA Keygen Off (s),WAA Keygen On (s),Keygen Ran (s),WDU TK Update (s),Decrypt Out (s),WDU Decrypt (s),Decrypt User (s),GPK Size (Bytes),GMK Size (Bytes),CT Size (Bytes),UGSK Size (Bytes),UASK Size (Bytes),Success Rate (%)
2,2,L1: (0 AND 1) OR L2: (0 AND 1),0.004634070000156499,0.005466400000204885,0.00012771999981850968,9.87899999927322e-05,0.0018140499999390158,0.0017596599999706087,0.006439619949924235,0.0038791050001236727,0.0065848100000039265,0.0036385049999353215,0.003359509999791044,0.0035447900000690423,0.0009737399998812179,0.0037449698999807877,0.0017889399999148736,0.003832789999978559,0.0018919999999525317,0.006224469999779103,0.006436519900125859,0.0052413400000205,8.864000005814887e-05,8.842999991429679e-05,174,30,1608,270,360,100.0
2,4,L1: (0 AND 1 AND 2 AND 3) OR L2: (0 AND 1 AND 2 AND 3),0.004824839999946562,0.005227329999888753,0.00012922000023536385,0.0001089999999749125,0.001873169999998936,0.0017623600002480088,0.011753725000062332,0.00743064995003806,0.01119008995015065,0.006705490000058489,0.003274239999882411,0.0032939900000201307,0.0009504200000264972,0.007545680000021093,0.003630880000127945,0.007380469899908348,0.0035628399999040996,0.009755829999812704,0.009001009999974486,0.009515479949823203,8.120499996948638e-05,9.400000008099595e-05,174,30,2688,270,720,100.0
2,6,L1: (0 AND 1 AND 2 AND 3 AND 4 AND 5) OR L2: (0 AND 1 AND 2 AND 3 AND 4 AND 5),0.004764810000051511,0.00534429999997883,0.00013738999996348866,0.00010831000035977922,0.0018617599999743105,0.0018658899999536515,0.01766843489999701,0.010757024949998594,0.016715660000090792,0.010430254999937461,0.0034444600001734215,0.0034553300000879973,0.0009781199997632938,0.011791189899668097,0.005616049899890641,0.011685149999993882,0.005660700000225916,0.013641590000224824,0.013432259899946074,0.014718895000123666,8.783000002949848e-05,9.491499999967346e-05,174,30,3768,270,1080,100.0
2,8,L1: (0 AND 1 AND 2 AND 3 AND 4 AND 5 AND 6 AND 7) OR L2: (0 AND 1 AND 2 AND 3 AND 4 AND 5 AND 6 AND 7),0.005001060000086,0.005425429999922926,0.00014602000010199845,0.00010701999972297926,0.002013269999952172,0.0019168800000443297,0.022687579949842985,0.01391294499999276,0.021023369949944026,0.013815784949883891,0.003317949999927805,0.003361100000256556,0.0009493599999586877,0.01475220000020272,0.006918649999988702,0.01491057989978799,0.006866960099978314,0.015513099999952828,0.015423439999904077,0.018076799900018158,8.655500009808747e-05,9.294499996030936e-05,174,30,4848,270,1440,100.0
2,10,L1: (0 AND 1 AND 2 AND 3 AND 4 AND 5 AND 6 AND 7 AND 8 AND 9) OR L2: (0 AND 1 AND 2 AND 3 AND 4 AND 5 AND 6 AND 7 AND 8 AND 9),0.004623740000079124,0.0051947100001598304,0.00013941000006525427,0.00011547000021892018,0.0018544700000347803,0.001872570000068663,0.027775365049956237,0.01665606004999063,0.025605155099947298,0.016658030149892512,0.00325767000003907,0.0033883100998536976,0.0009620700000596116,0.01853973010011032,0.00850659000006999,0.01761900009969395,0.008303469999918888,0.018593150000015157,0.018972470000153407,0.022322605199951794,8.407499994973477e-05,9.384500012856733e-05,174,30,5928,270,1800,100.0
2,12,L1: (0 AND 1 AND 2 AND 3 AND 4 AND 5 AND 6 AND 7 AND 8 AND 9 AND 10 AND 11) OR L2: (0 AND 1 AND 2 AND 3 AND 4 AND 5 AND 6 AND 7 AND 8 AND 9 AND 10 AND 11),0.004572639999969397,0.005316449999827455,0.00014319000010800664,0.00010781999999380787,0.0019006000000445055,0.001978259999941656,0.03244739519991526,0.0198564751000049,0.030686590150071424,0.019851095049898505,0.0032954699998299477,0.003330270000060409,0.0009931299999152543,0.02171565010003178,0.010290020000138612,0.02114033020015995,0.009926570000061474,0.02180688009993901,0.022513350099961825,0.02590686009998535,7.850999995753227e-05,8.325999997396138e-05,174,30,7008,270,2160,100.0
2,14,L1: (0 AND 1 AND 2 AND 3 AND 4 AND 5 AND 6 AND 7 AND 8 AND 9 AND 10 AND 11 AND 12 AND 13) OR L2: (0 AND 1 AND 2 AND 3 AND 4 AND 5 AND 6 AND 7 AND 8 AND 9 AND 10 AND 11 AND 12 AND 13),0.004575270100212947,0.005262299999867537,0.00013068999996903585,9.890000001178123e-05,0.0018894901001658582,0.0019525800000337768,0.037031260300045686,0.022802770249973035,0.03511237545008043,0.022979440199878808,0.0032061800998235412,0.0035017800000787247,0.0010330500000236497,0.025277640300100757,0.012071890299830556,0.024516710199895896,0.01143067000011797,0.0252207202000136,0.02500813040005596,0.029481675299939523,7.977999998729502e-05,8.101499984149995e-05,174,30,8088,270,2520,100.0
4,2,L1: (0 AND 1) OR L2: (0 AND 1) OR L3: (0 AND 1) OR L4: (0 AND 1),0.004510630099775881,0.005144490000020596,0.00014216999979907997,9.89000001027307e-05,0.0017727099999319761,0.001788570000189793,0.006242302500049845,0.003817932624929199,0.006490210099923388,0.003560775024971008,0.003490599999895494,0.003518579999945359,0.0010017600003266124,0.0038910799999939626,0.0017380600998876615,0.0036687100000563078,0.001994429999649583,0.006253690099947562,0.006423989999984769,0.005352985074932803,8.505250004873233e-05,8.99524999795176e-05,174,30,3216,270,360,100.0
4,4,L1: (0 AND 1 AND 2 AND 3) OR L2: (0 AND 1 AND 2 AND 3) OR L3: (0 AND 1 AND 2 AND 3) OR L4: (0 AND 1 AND 2 AND 3),0.004739230000086536,0.005308220100232575,0.00014212000005500158,0.00010897000011027558,0.0018889400000261958,0.001874869999846851,0.011868005075007204,0.0074482625999735316,0.011459185125022486,0.007016125100017234,0.003311299999950279,0.0034685199998421012,0.0009981799999877693,0.007714640000085637,0.003773859999728302,0.007109850099914184,0.0035536799997316847,0.009560510099800013,0.009200640000199201,0.009999700125035815,8.745999994062004e-05,9.049000013874319e-05,174,30,5376,270,720,100.0
4,6,L1: (0 AND 1 AND 2 AND 3 AND 4 AND 5) OR L2: (0 AND 1 AND 2 AND 3 AND 4 AND 5) OR L3: (0 AND 1 AND 2 AND 3 AND 4 AND 5) OR L4: (0 AND 1 AND 2 AND 3 AND 4 AND 5),0.0046489399999700256,0.005238939999890136,0.00015449000011358294,0.00010217999997621518,0.0018243399998027598,0.0017942699999366595,0.017905057524944822,0.011053957499916578,0.01698153002505478,0.010586810025051819,0.0035174000001461534,0.003619710000020859,0.0010112299998581876,0.011207630000171775,0.005336330099999032,0.011374109999997018,0.005274580000059359,0.012908320099995763,0.01328325019994736,0.014344432574966958,8.590499992351397e-05,9.134250001352484e-05,174,30,7536,270,1080,100.0
