Scenario,Files,Attributes,Policy,Setup Time (ms),Keygen Time (ms),Encrypt Time (ms),Decrypt Time (ms),MPK Size (Bytes),MSK Size (Bytes),SK Size (Bytes),CT Size (Bytes),Success Rate (%)
Fixed_Files_2_Attrs_2,2,2,(attr1 AND attr2),13.705504010431468,146.80424297694117,35.01149901421741,159.505495976191,1704,480,360,897.0,100.0
Fixed_Files_2_Attrs_4,2,4,(attr1 AND attr2 AND attr3 AND attr4),13.727605051826686,103.07399596786126,34.00354698533192,119.25192800117657,1704,480,540,1097.0,100.0
Fixed_Files_2_Attrs_6,2,6,(attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6),19.32439301162958,16.368540993425995,52.28658701526001,39.285218983422965,1704,480,720,1297.0,100.0
Fixed_Files_2_Attrs_8,2,8,(attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8),16.22773299459368,130.62601198907942,47.76075400877744,156.23172803316265,1704,480,900,1497.0,100.0
Fixed_Files_2_Attrs_10,2,10,(attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10),15.715108020231128,89.86451802775264,48.135972989257425,116.55989004066214,1704,480,1080,1698.0,100.0
Fixed_Files_2_Attrs_12,2,12,(attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10 AND attr11 AND attr12),15.06827399134636,46.08396801631898,54.75051299436018,74.74684104090557,1704,480,1260,1900.0,100.0
Fixed_Files_2_Attrs_14,2,14,(attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10 AND attr11 AND attr12 AND attr13 AND attr14),14.137425983790308,111.73494101967663,51.96286999853328,144.23861098475754,1704,480,1440,2102.0,100.0
Fixed_Files_4_Attrs_2,4,2,(attr1 AND attr2),16.74705999903381,174.612672009971,54.77081501157954,210.95243899617344,1704,480,360,897.0,100.0
Fixed_Files_4_Attrs_4,4,4,(attr1 AND attr2 AND attr3 AND attr4),16.233535017818213,46.933411969803274,68.67772899568081,85.58219799306244,1704,480,540,1097.0,100.0
Fixed_Files_4_Attrs_6,4,6,(attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6),15.073274029418826,95.62591399298981,67.43416498648003,136.05989201460034,1704,480,720,1297.0,100.0
Fixed_Files_4_Attrs_8,4,8,(attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8),14.273634005803615,163.76701497938484,70.17060602083802,214.02589697390795,1704,480,900,1497.0,100.0
Fixed_Files_4_Attrs_10,4,10,(attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10),13.449291000142694,134.47570998687297,74.02600400382653,190.9320099512115,1704,480,1080,1698.0,100.0
Fixed_Files_4_Attrs_12,4,12,(attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10 AND attr11 AND attr12),14.407941023819149,113.95215598167852,111.49492900585756,199.59095603553578,1704,480,1260,1900.0,100.0
Fixed_Files_4_Attrs_14,4,14,(attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10 AND attr11 AND attr12 AND attr13 AND attr14),23.632914992049336,142.85784104140475,143.68358300998807,232.89696697611362,1704,480,1440,2102.0,100.0
Fixed_Files_6_Attrs_2,6,2,(attr1 AND attr2),21.624910994432867,84.55744496313855,94.61186098633334,145.59078100137413,1704,480,360,897.0,100.0
Fixed_Files_6_Attrs_4,6,4,(attr1 AND attr2 AND attr3 AND attr4),20.53275500657037,15.758008987177163,94.0887340111658,98.7011719844304,1704,480,540,1097.0,100.0
Fixed_Files_6_Attrs_6,6,6,(attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6),24.558962031733245,36.64498298894614,137.99279101658612,116.73009797232226,1704,480,720,1297.0,100.0
Fixed_Files_6_Attrs_8,6,8,(attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8),15.685206046327949,117.22612398443744,117.60484299156815,220.4800290055573,1704,480,900,1497.0,100.0
Fixed_Files_6_Attrs_10,6,10,(attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10),22.112736012786627,34.2535600066185,162.7137609757483,181.83454300742596,1704,480,1080,1698.0,100.0
Fixed_Files_6_Attrs_12,6,12,(attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10 AND attr11 AND attr12),25.204395002219826,99.90833303891122,184.7576930304058,196.00777205778286,1704,480,1260,1900.0,100.0
Fixed_Files_6_Attrs_14,6,14,(attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10 AND attr11 AND attr12 AND attr13 AND attr14),16.43734402023256,110.45337503310293,155.48668999690562,215.8146889996715,1704,480,1440,2102.0,100.0
Fixed_Files_8_Attrs_2,8,2,(attr1 AND attr2),14.625451993197203,91.88082098262385,86.64255199255422,147.94110198272392,1704,480,360,897.0,100.0
Fixed_Files_8_Attrs_4,8,4,(attr1 AND attr2 AND attr3 AND attr4),14.105924987234175,75.11035999050364,105.49712099600583,147.74479204788804,1704,480,540,1097.0,100.0
Fixed_Files_8_Attrs_6,8,6,(attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6),14.617951004765928,69.22808097442612,118.07264399249107,155.59992601629347,1704,480,720,1297.0,100.0
Fixed_Files_8_Attrs_8,8,8,(attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8),13.976161018945277,46.936746046412736,132.0177490124479,148.18568096961826,1704,480,900,1497.0,100.0
Fixed_Files_8_Attrs_10,8,10,(attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10),14.063962968066335,86.49894903646782,152.55262603750452,212.42009702837095,1704,480,1080,1698.0,100.0
Fixed_Files_8_Attrs_12,8,12,(attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10 AND attr11 AND attr12),14.121364976745099,177.88996000308543,180.51444605225697,301.98884796118364,1704,480,1260,1900.0,100.0
Fixed_Files_8_Attrs_14,8,14,(attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10 AND attr11 AND attr12 AND attr13 AND attr14),22.575744020286947,139.12428298499435,184.4484760076739,272.7869860245846,1704,480,1440,2102.0,100.0
Fixed_Files_10_Attrs_2,10,2,(attr1 AND attr2),19.39153898274526,17.659381963312626,124.71170799108222,116.30743101704866,1704,480,360,897.0,100.0
Fixed_Files_10_Attrs_4,10,4,(attr1 AND attr2 AND attr3 AND attr4),14.253770001232624,99.82698899693787,122.97305098036304,203.4957039868459,1704,480,540,1097.0,100.0
Fixed_Files_10_Attrs_6,10,6,(attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6),16.790054040029645,50.74927199166268,162.35234797932208,152.61132799787447,1704,480,720,1297.0,100.0
Fixed_Files_10_Attrs_8,10,8,(attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8),17.360572004690766,19.62624699808657,170.0716019840911,136.56669901683927,1704,480,900,1497.0,100.0
Fixed_Files_10_Attrs_10,10,10,(attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10),13.466142991092056,158.046705997549,178.8019899977371,291.660008020699,1704,480,1080,1698.0,100.0
Fixed_Files_10_Attrs_12,10,12,(attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10 AND attr11 AND attr12),14.08326398814097,113.81934996461496,182.05129698617384,270.3472059802152,1704,480,1260,1900.0,100.0
Fixed_Files_10_Attrs_14,10,14,(attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10 AND attr11 AND attr12 AND attr13 AND attr14),14.319472014904022,132.2804579976946,200.68521104985848,302.31225898023695,1704,480,1440,2102.0,100.0
Fixed_Files_12_Attrs_2,12,2,(attr1 AND attr2),14.704284025356174,103.1241969903931,120.73827697895467,201.57814002595842,1704,480,360,897.0,100.0
Fixed_Files_12_Attrs_4,12,4,(attr1 AND attr2 AND attr3 AND attr4),22.637445013970137,99.84688903205097,150.70716495392844,215.55700100725517,1704,480,540,1097.0,100.0
Fixed_Files_12_Attrs_6,12,6,(attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6),14.116464997641742,23.212664993479848,165.35384696908295,164.49331905459985,1704,480,720,1297.0,100.0
Fixed_Files_12_Attrs_8,12,8,(attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8),13.988660997711122,68.32465098705143,184.1380659607239,228.84073900058866,1704,480,900,1497.0,100.0
Fixed_Files_12_Attrs_10,12,10,(attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10),14.143366017378867,69.31798398727551,209.6510059782304,268.042249022983,1704,480,1080,1698.0,100.0
Fixed_Files_12_Attrs_12,12,12,(attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10 AND attr11 AND attr12),14.179056975990534,128.79041401902214,233.83191204629838,323.9191039465368,1704,480,1260,1900.0,100.0
Fixed_Files_12_Attrs_14,12,14,(attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10 AND attr11 AND attr12 AND attr13 AND attr14),14.739405014552176,90.43115703389049,311.35863304371014,294.6345050004311,1704,480,1440,2102.0,100.0
Fixed_Files_14_Attrs_2,14,2,(attr1 AND attr2),15.109429019503295,41.98038001777604,148.7640410196036,158.32892898470163,1704,480,360,897.0,100.0
Fixed_Files_14_Attrs_4,14,4,(attr1 AND attr2 AND attr3 AND attr4),14.09616699675098,88.46093597821891,166.05890402570367,234.28839695407078,1704,480,540,1097.0,100.0
Fixed_Files_14_Attrs_6,14,6,(attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6),14.62469802936539,40.76360404724255,185.01876899972558,202.10071903420612,1704,480,720,1297.0,100.0
Fixed_Files_14_Attrs_8,14,8,(attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8),16.827533952891827,42.35150298336521,249.33552101720124,214.50888097751886,1704,480,900,1497.0,100.0
Fixed_Files_14_Attrs_10,14,10,(attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10),15.681963006500155,52.17570601962507,296.56682402128354,219.43348395870999,1704,480,1080,1698.0,100.0
Fixed_Files_14_Attrs_12,14,12,(attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10 AND attr11 AND attr12),13.803548004943877,114.02960697887465,261.3854619557969,315.36717899143696,1704,480,1260,1900.0,100.0
Fixed_Files_14_Attrs_14,14,14,(attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10 AND attr11 AND attr12 AND attr13 AND attr14),14.241975033655763,84.24477698281407,298.62174997106194,307.5542990118265,1704,480,1440,2102.0,100.0
Fixed_Attrs_2_Files_2,2,2,(attr1 AND attr2),15.08032699348405,70.45862899394706,33.920284011401236,84.33458296349272,1704,480,360,897.0,100.0
Fixed_Attrs_2_Files_4,4,2,(attr1 AND attr2),14.244275982491672,114.75205101305619,50.79102097079158,140.6067400239408,1704,480,360,897.0,100.0
Fixed_Attrs_2_Files_6,6,2,(attr1 AND attr2),13.545932015404105,42.44800901506096,64.63567196624354,82.78478699503466,1704,480,360,897.0,100.0
