Scenario,Files,Attributes,Policy,Setup Time (ms),SSS MSK Share Time (ms),SSS MSK Reconstruct Time (ms),Keygen Time (ms),Encrypt Time (ms),Encrypt Time per File (ms),Decrypt Time (ms),Decrypt Time per File (ms),IPFS Store Time (ms),IPFS Retrieve Time (ms),Blockchain Store Time (ms),Blockchain Retrieve Time (ms),Blockchain Key Store Time (ms),Blockchain Key Retrieve Time (ms),RSA Encrypt Time (ms),RSA Decrypt Time (ms),MPK Size (Bytes),MSK Size (Bytes),SK Size (Bytes),CT Size (Bytes),Success Rate (%),IPFS Access Count,Audit Log Entries
Fixed_Files_2_Attrs_2,2,2,ATTR1 AND ATTR2,10.813511034939438,4.397647979203612,5.429106997326016,6.472265988122672,49.18727796757594,24.59363898378797,26.275384007021785,13.137692003510892,0,0,0,0,0.03970199031755328,0.001500011421740055,4.455501039046794,5.428656528238207,1116,372,1012,3774.0,100.0,4,8
Fixed_Files_2_Attrs_4,2,4,ATTR1 AND ATTR2 AND ATTR3 AND ATTR4,11.023422994185239,2.3085299762897193,5.3685029852204025,13.731974991969764,77.90329901035875,38.951649505179375,63.99461399996653,31.997306999983266,0,0,0,0,0.0813049846328795,0.0021999585442245007,4.234339023241773,6.014340004185215,1124,360,1640,5022.0,100.0,4,8
Fixed_Files_2_Attrs_6,2,6,ATTR1 AND ATTR2 AND ATTR3 AND ATTR4 AND ATTR5 AND ATTR6,16.715842997655272,6.204950041137636,8.910102013032883,30.14039999106899,127.41278600879014,63.70639300439507,76.7588290036656,38.3794145018328,0,0,0,0,0.1575089991092682,0.003600027412176132,6.413762021111324,8.51482999860309,1128,372,2272,6260.0,100.0,4,8
Fixed_Files_2_Attrs_8,2,8,ATTR1 AND ATTR2 AND ATTR3 AND ATTR4 AND ATTR5 AND ATTR6 AND ATTR7 AND ATTR8,11.483746988233179,2.6270480011589825,5.345801007933915,25.017011037562042,112.40554001415148,56.20277000707574,67.5654110382311,33.78270551911555,0,0,0,0,0.134107016492635,0.0013999524526298046,3.5896525077987462,5.48441000864841,1116,364,2868,7496.0,100.0,4,8
Fixed_Files_2_Attrs_10,2,10,ATTR1 AND ATTR2 AND ATTR3 AND ATTR4 AND ATTR5 AND ATTR6 AND ATTR7 AND ATTR8 AND ATTR9 AND ATTR10,10.420675040222704,2.2092220024205744,5.092680978123099,27.856839005835354,135.0866630091332,67.5433315045666,75.92449401272461,37.962247006362304,0,0,0,0,0.036402023397386074,0.001600012183189392,3.3568855142220855,5.196837009862065,1128,372,3460,8708.0,100.0,4,8
Fixed_Files_2_Attrs_12,2,12,ATTR1 AND ATTR2 AND ATTR3 AND ATTR4 AND ATTR5 AND ATTR6 AND ATTR7 AND ATTR8 AND ATTR9 AND ATTR10 AND ATTR11 AND ATTR12,10.564582946244627,2.2302240249700844,5.237289005890489,33.92987500410527,163.63263997482136,81.81631998741068,84.23495397437364,42.11747698718682,0,0,0,0,0.03870198270305991,0.001600012183189392,3.590148000512272,5.3078425116837025,1128,364,4056,9916.0,100.0,4,8
Fixed_Files_2_Attrs_14,2,14,ATTR1 AND ATTR2 AND ATTR3 AND ATTR4 AND ATTR5 AND ATTR6 AND ATTR7 AND ATTR8 AND ATTR9 AND ATTR10 AND ATTR11 AND ATTR12 AND ATTR13 AND ATTR14,11.134714994113892,2.595342986751348,5.265191022772342,41.638900991529226,206.55501197325066,103.27750598662533,154.53393798088655,77.26696899044327,0,0,0,0,0.075404008384794,0.003100023604929447,3.63670100341551,6.9349830446299165,1124,368,4648,11104.0,100.0,4,8
Fixed_Files_4_Attrs_2,4,2,ATTR1 AND ATTR2,11.20371901197359,2.1995219867676497,4.952873976435512,6.375551980454475,71.43794698640704,17.85948674660176,71.52306498028338,17.880766245070845,0,0,0,0,0.033001997508108616,0.001100008375942707,5.741716449847445,11.520839005243033,1128,360,1012,3762.0,100.0,8,14
Fixed_Files_4_Attrs_4,4,4,ATTR1 AND ATTR2 AND ATTR3 AND ATTR4,11.77175500197336,2.8578590136021376,6.568566022906452,13.79036798607558,157.3529599700123,39.33823999250308,98.00125600304455,24.500314000761136,0,0,0,0,0.07800396997481585,0.002100015990436077,8.486271952278912,13.421097013633698,1124,364,1636,5035.0,100.0,8,14
Fixed_Files_4_Attrs_6,4,6,ATTR1 AND ATTR2 AND ATTR3 AND ATTR4 AND ATTR5 AND ATTR6,10.981510975398123,2.5046400260180235,5.773121025413275,18.333821033593267,171.55615100637078,42.889037751592696,99.27442600019276,24.81860650004819,0,0,0,0,0.04520296351984143,0.001600012183189392,5.676716536981985,9.096355992369354,1104,364,2272,6273.0,100.0,8,14
