Scenario,Files,Attributes,Policy,Setup Time (ms),Keygen Time (ms),Encrypt Time (ms),Decrypt Time (ms),MPK Size (Bytes),MSK Size (Bytes),SK Size (Bytes),CT Size (Bytes),Success Rate (%)
Fixed_Files_2_Attrs_2,2,2,L1: (attr1@AUTH1 AND attr2@AUTH2) OR L2: (attr1@AUTH1 AND attr2@AUTH2),3.5011768341064453,2.503037452697754,83.12559127807617,85.76595783233643,768,120,360,11386,100.0
Fixed_Files_2_Attrs_4,2,4,L1: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4) OR L2: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4),3.5302042961120605,2.3857951164245605,133.13889503479004,179.53097820281982,1536,240,720,11450,100.0
Fixed_Files_2_Attrs_6,2,6,L1: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4 AND attr5@AUTH5 AND attr6@AUTH6) OR L2: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4 AND attr5@AUTH5 AND attr6@AUTH6),2.675771713256836,2.4515787760416665,187.0039701461792,229.29155826568604,2304,360,1080,11514,100.0
Fixed_Files_2_Attrs_8,2,8,L1: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4 AND attr5@AUTH5 AND attr6@AUTH6 AND attr7@AUTH7 AND attr8@AUTH8) OR L2: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4 AND attr5@AUTH5 AND attr6@AUTH6 AND attr7@AUTH7 AND attr8@AUTH8),2.5890469551086426,2.822011709213257,254.58002090454102,346.0923433303833,3072,480,1440,11578,100.0
Fixed_Files_2_Attrs_10,2,10,L1: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4 AND attr5@AUTH5 AND attr6@AUTH6 AND attr7@AUTH7 AND attr8@AUTH8 AND attr9@AUTH9 AND attr10@AUTH10) OR L2: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4 AND attr5@AUTH5 AND attr6@AUTH6 AND attr7@AUTH7 AND attr8@AUTH8 AND attr9@AUTH9 AND attr10@AUTH10),3.6485671997070312,2.770113945007324,395.8052396774292,437.23392486572266,3840,600,1800,11646,100.0
Fixed_Files_2_Attrs_12,2,12,L1: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4 AND attr5@AUTH5 AND attr6@AUTH6 AND attr7@AUTH7 AND attr8@AUTH8 AND attr9@AUTH9 AND attr10@AUTH10 AND attr11@AUTH11 AND attr12@AUTH12) OR L2: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4 AND attr5@AUTH5 AND attr6@AUTH6 AND attr7@AUTH7 AND attr8@AUTH8 AND attr9@AUTH9 AND attr10@AUTH10 AND attr11@AUTH11 AND attr12@AUTH12),2.767841021219889,2.9904047648111978,406.3824415206909,560.7150793075562,4608,720,2160,11718,100.0
Fixed_Files_2_Attrs_14,2,14,L1: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4 AND attr5@AUTH5 AND attr6@AUTH6 AND attr7@AUTH7 AND attr8@AUTH8 AND attr9@AUTH9 AND attr10@AUTH10 AND attr11@AUTH11 AND attr12@AUTH12 AND attr13@AUTH13 AND attr14@AUTH14) OR L2: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4 AND attr5@AUTH5 AND attr6@AUTH6 AND attr7@AUTH7 AND attr8@AUTH8 AND attr9@AUTH9 AND attr10@AUTH10 AND attr11@AUTH11 AND attr12@AUTH12 AND attr13@AUTH13 AND attr14@AUTH14),2.6509761810302734,2.562948635646275,416.1945581436157,593.6319828033447,5376,840,2520,11790,100.0
Fixed_Files_4_Attrs_2,4,2,L1: (attr1@AUTH1 AND attr2@AUTH2) OR L2: (attr1@AUTH1 AND attr2@AUTH2) OR L3: (attr1@AUTH1 AND attr2@AUTH2) OR L4: (attr1@AUTH1 AND attr2@AUTH2),2.5113821029663086,3.4728050231933594,222.4448323249817,194.32681798934937,768,120,360,45428,100.0
Fixed_Files_4_Attrs_4,4,4,L1: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4) OR L2: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4) OR L3: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4) OR L4: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4),2.9839277267456055,2.8249025344848633,311.5014433860779,415.6687259674072,1536,240,720,45556,100.0
Fixed_Files_4_Attrs_6,4,6,L1: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4 AND attr5@AUTH5 AND attr6@AUTH6) OR L2: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4 AND attr5@AUTH5 AND attr6@AUTH6) OR L3: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4 AND attr5@AUTH5 AND attr6@AUTH6) OR L4: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4 AND attr5@AUTH5 AND attr6@AUTH6),3.164529800415039,2.6146570841471353,484.5970869064331,519.2292332649231,2304,360,1080,45684,100.0
Fixed_Files_4_Attrs_8,4,8,L1: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4 AND attr5@AUTH5 AND attr6@AUTH6 AND attr7@AUTH7 AND attr8@AUTH8) OR L2: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4 AND attr5@AUTH5 AND attr6@AUTH6 AND attr7@AUTH7 AND attr8@AUTH8) OR L3: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4 AND attr5@AUTH5 AND attr6@AUTH6 AND attr7@AUTH7 AND attr8@AUTH8) OR L4: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4 AND attr5@AUTH5 AND attr6@AUTH6 AND attr7@AUTH7 AND attr8@AUTH8),3.113090991973877,2.461463212966919,522.2374200820923,665.2567386627197,3072,480,1440,45812,100.0
Fixed_Files_4_Attrs_10,4,10,L1: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4 AND attr5@AUTH5 AND attr6@AUTH6 AND attr7@AUTH7 AND attr8@AUTH8 AND attr9@AUTH9 AND attr10@AUTH10) OR L2: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4 AND attr5@AUTH5 AND attr6@AUTH6 AND attr7@AUTH7 AND attr8@AUTH8 AND attr9@AUTH9 AND attr10@AUTH10) OR L3: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4 AND attr5@AUTH5 AND attr6@AUTH6 AND attr7@AUTH7 AND attr8@AUTH8 AND attr9@AUTH9 AND attr10@AUTH10) OR L4: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4 AND attr5@AUTH5 AND attr6@AUTH6 AND attr7@AUTH7 AND attr8@AUTH8 AND attr9@AUTH9 AND attr10@AUTH10),3.2872676849365234,2.9593944549560547,654.6087265014648,815.002977848053,3840,600,1800,45948,100.0
Fixed_Files_4_Attrs_12,4,12,L1: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4 AND attr5@AUTH5 AND attr6@AUTH6 AND attr7@AUTH7 AND attr8@AUTH8 AND attr9@AUTH9 AND attr10@AUTH10 AND attr11@AUTH11 AND attr12@AUTH12) OR L2: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4 AND attr5@AUTH5 AND attr6@AUTH6 AND attr7@AUTH7 AND attr8@AUTH8 AND attr9@AUTH9 AND attr10@AUTH10 AND attr11@AUTH11 AND attr12@AUTH12) OR L3: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4 AND attr5@AUTH5 AND attr6@AUTH6 AND attr7@AUTH7 AND attr8@AUTH8 AND attr9@AUTH9 AND attr10@AUTH10 AND attr11@AUTH11 AND attr12@AUTH12) OR L4: (attr1@AUTH1 AND attr2@AUTH2 AND attr3@AUTH3 AND attr4@AUTH4 AND attr5@AUTH5 AND attr6@AUTH6 AND attr7@AUTH7 AND attr8@AUTH8 AND attr9@AUTH9 AND attr10@AUTH10 AND attr11@AUTH11 AND attr12@AUTH12),2.715905507405599,2.72218386332194,796.7758178710938,1084.783136844635,4608,720,2160,46092,100.0
