Scenario,Files,Chunks,Attributes,Policy,Setup Time (ms),Keygen Time (ms),Encrypt Time (ms),Decrypt Time (ms),MPK Size (Bytes),MSK Size (Bytes),SK Size (Bytes),CT Size (Bytes),Success Rate (%)
Fixed_Files_2_Attrs_2,2,4,2,L1: (attr1 AND attr2) OR L2: (attr1 AND attr2) OR L3: (attr1 AND attr2) OR L4: (attr1 AND attr2),0.9496212005615234,8.573770523071289,63.017845153808594,82.06844329833984,384,60,540,7952,100.0
Fixed_Files_2_Attrs_4,2,4,4,L1: (attr1 AND attr2 AND attr3 AND attr4) OR L2: (attr1 AND attr2 AND attr3 AND attr4) OR L3: (attr1 AND attr2 AND attr3 AND attr4) OR L4: (attr1 AND attr2 AND attr3 AND attr4),1.064300537109375,14.525651931762695,87.5246524810791,119.68541145324707,384,60,900,10992,100.0
Fixed_Files_2_Attrs_6,2,4,6,L1: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6) OR L2: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6) OR L3: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6) OR L4: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6),0.9953975677490234,19.489765167236328,110.47911643981934,175.2033233642578,384,60,1260,14032,100.0
Fixed_Files_2_Attrs_8,2,4,8,L1: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8) OR L2: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8) OR L3: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8) OR L4: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8),0.9722709655761719,28.859615325927734,150.02036094665527,207.85164833068848,384,60,1620,17072,100.0
Fixed_Files_2_Attrs_10,2,4,10,L1: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10) OR L2: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10) OR L3: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10) OR L4: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10),1.009225845336914,30.02786636352539,179.4450283050537,263.5388374328613,384,60,1980,20112,100.0
Fixed_Files_2_Attrs_12,2,4,12,L1: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10 AND attr11 AND attr12) OR L2: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10 AND attr11 AND attr12) OR L3: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10 AND attr11 AND attr12) OR L4: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10 AND attr11 AND attr12),1.0418891906738281,35.92634201049805,198.2271671295166,312.2537136077881,384,60,2340,23152,100.0
Fixed_Files_2_Attrs_14,2,4,14,L1: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10 AND attr11 AND attr12 AND attr13 AND attr14) OR L2: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10 AND attr11 AND attr12 AND attr13 AND attr14) OR L3: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10 AND attr11 AND attr12 AND attr13 AND attr14) OR L4: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10 AND attr11 AND attr12 AND attr13 AND attr14),1.2362003326416016,40.493011474609375,228.78479957580566,327.0120620727539,384,60,2700,26192,100.0
Fixed_Files_4_Attrs_2,4,8,2,L1: (attr1 AND attr2) OR L2: (attr1 AND attr2) OR L3: (attr1 AND attr2) OR L4: (attr1 AND attr2) OR L5: (attr1 AND attr2) OR L6: (attr1 AND attr2) OR L7: (attr1 AND attr2) OR L8: (attr1 AND attr2),0.9973049163818359,7.202863693237305,117.19822883605957,155.5502414703369,384,60,540,7952,100.0
Fixed_Files_4_Attrs_4,4,8,4,L1: (attr1 AND attr2 AND attr3 AND attr4) OR L2: (attr1 AND attr2 AND attr3 AND attr4) OR L3: (attr1 AND attr2 AND attr3 AND attr4) OR L4: (attr1 AND attr2 AND attr3 AND attr4) OR L5: (attr1 AND attr2 AND attr3 AND attr4) OR L6: (attr1 AND attr2 AND attr3 AND attr4) OR L7: (attr1 AND attr2 AND attr3 AND attr4) OR L8: (attr1 AND attr2 AND attr3 AND attr4),1.104116439819336,13.017892837524414,175.70114135742188,251.82604789733887,384,60,900,10992,100.0
Fixed_Files_4_Attrs_6,4,8,6,L1: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6) OR L2: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6) OR L3: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6) OR L4: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6) OR L5: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6) OR L6: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6) OR L7: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6) OR L8: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6),1.7080307006835938,20.339250564575195,233.44802856445312,354.5675277709961,384,60,1260,14032,100.0
Fixed_Files_4_Attrs_8,4,8,8,L1: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8) OR L2: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8) OR L3: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8) OR L4: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8) OR L5: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8) OR L6: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8) OR L7: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8) OR L8: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8),0.988006591796875,24.305105209350586,280.14397621154785,411.8635654449463,384,60,1620,17072,100.0
Fixed_Files_4_Attrs_10,4,8,10,L1: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10) OR L2: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10) OR L3: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10) OR L4: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10) OR L5: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10) OR L6: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10) OR L7: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10) OR L8: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10),1.2054443359375,29.025554656982422,330.2605152130127,497.5898265838623,384,60,1980,20112,100.0
Fixed_Files_4_Attrs_12,4,8,12,L1: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10 AND attr11 AND attr12) OR L2: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10 AND attr11 AND attr12) OR L3: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10 AND attr11 AND attr12) OR L4: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10 AND attr11 AND attr12) OR L5: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10 AND attr11 AND attr12) OR L6: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10 AND attr11 AND attr12) OR L7: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10 AND attr11 AND attr12) OR L8: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10 AND attr11 AND attr12),1.1949539184570312,33.606529235839844,393.48721504211426,587.3780250549316,384,60,2340,23152,100.0
Fixed_Files_4_Attrs_14,4,8,14,L1: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10 AND attr11 AND attr12 AND attr13 AND attr14) OR L2: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10 AND attr11 AND attr12 AND attr13 AND attr14) OR L3: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10 AND attr11 AND attr12 AND attr13 AND attr14) OR L4: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10 AND attr11 AND attr12 AND attr13 AND attr14) OR L5: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10 AND attr11 AND attr12 AND attr13 AND attr14) OR L6: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10 AND attr11 AND attr12 AND attr13 AND attr14) OR L7: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10 AND attr11 AND attr12 AND attr13 AND attr14) OR L8: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10 AND attr11 AND attr12 AND attr13 AND attr14),1.3306140899658203,41.086673736572266,498.5165596008301,769.1667079925537,384,60,2700,26192,100.0
Fixed_Files_6_Attrs_2,6,12,2,L1: (attr1 AND attr2) OR L2: (attr1 AND attr2) OR L3: (attr1 AND attr2) OR L4: (attr1 AND attr2) OR L5: (attr1 AND attr2) OR L6: (attr1 AND attr2) OR L7: (attr1 AND attr2) OR L8: (attr1 AND attr2) OR L9: (attr1 AND attr2) OR L10: (attr1 AND attr2) OR L11: (attr1 AND attr2) OR L12: (attr1 AND attr2),1.0704994201660156,8.289813995361328,258.9244842529297,225.33535957336426,384,60,540,7952,100.0
Fixed_Files_6_Attrs_4,6,12,4,L1: (attr1 AND attr2 AND attr3 AND attr4) OR L2: (attr1 AND attr2 AND attr3 AND attr4) OR L3: (attr1 AND attr2 AND attr3 AND attr4) OR L4: (attr1 AND attr2 AND attr3 AND attr4) OR L5: (attr1 AND attr2 AND attr3 AND attr4) OR L6: (attr1 AND attr2 AND attr3 AND attr4) OR L7: (attr1 AND attr2 AND attr3 AND attr4) OR L8: (attr1 AND attr2 AND attr3 AND attr4) OR L9: (attr1 AND attr2 AND attr3 AND attr4) OR L10: (attr1 AND attr2 AND attr3 AND attr4) OR L11: (attr1 AND attr2 AND attr3 AND attr4) OR L12: (attr1 AND attr2 AND attr3 AND attr4),1.1019706726074219,13.414382934570312,262.74609565734863,386.8410587310791,384,60,900,10992,100.0
Fixed_Files_6_Attrs_6,6,12,6,L1: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6) OR L2: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6) OR L3: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6) OR L4: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6) OR L5: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6) OR L6: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6) OR L7: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6) OR L8: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6) OR L9: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6) OR L10: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6) OR L11: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6) OR L12: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6),1.032114028930664,18.173933029174805,345.83020210266113,507.60483741760254,384,60,1260,14032,100.0
